time,price
2006-02-07,7100
2006-02-08,7900
2006-02-09,7900
2006-02-10,7900
2006-02-13,7900
2006-02-14,7100
2006-02-15,7100
2006-02-16,7100
2006-02-17,7100
2006-02-20,7100
2006-02-21,7100
2006-02-22,6400
2006-02-23,6400
2006-02-24,6400
2006-02-27,6400
2006-02-28,7100
2006-03-02,7900
2006-03-03,8600
2006-03-06,8600
2006-03-07,8600
2006-03-08,8600
2006-03-09,8600
2006-03-10,8600
2006-03-13,8600
2006-03-14,8600
2006-03-15,8600
2006-03-16,8600
2006-03-17,8600
2006-03-20,8600
2006-03-21,8600
2006-03-22,8600
2006-03-23,9300
2006-03-24,9300
2006-03-27,9300
2006-03-28,9300
2006-03-29,9300
2006-03-30,9300
2006-03-31,9300
2006-04-03,9300
2006-04-04,9300
2006-04-05,9300
2006-04-06,9300
2006-04-07,9300
2006-04-10,9300
2006-05-02,6700
2006-05-03,6700
2006-05-04,6700
2006-05-08,6700
2006-05-09,6700
2006-05-10,6700
2006-05-11,6700
2006-05-12,5000
2006-05-15,5000
2006-05-16,5000
2006-05-17,5000
2006-05-18,5000
2006-05-19,5000
2006-05-22,5000
2006-05-23,5000
2006-05-24,5000
2006-05-25,5000
2006-05-26,4200
2006-05-29,4200
2006-05-30,4200
2006-06-01,3600
2006-06-02,3600
2006-06-05,3600
2006-06-07,3300
2006-06-08,3300
2006-06-09,3300
2006-06-12,3300
2006-06-13,3300
2006-06-14,3300
2006-06-15,3300
2006-06-16,3300
2006-06-19,3300
2006-06-20,3300
2006-06-21,3300
2006-06-22,3300
2006-06-23,3300
2006-06-26,3300
2006-06-27,3300
2006-06-28,3300
2006-06-29,2500
2006-06-30,2500
2006-07-03,2500
2006-07-04,2900
2006-07-05,3300
2006-07-06,3300
2006-07-07,3300
2006-07-10,3300
2006-07-11,3300
2006-07-12,3300
2006-07-13,3300
2006-07-14,3300
2006-07-18,5800
2006-07-19,5800
2006-07-20,5800
2006-07-21,5000
2006-08-02,8300
2006-08-03,8300
2006-08-04,8300
2006-08-07,10000
2006-08-08,9200
2006-08-09,9200
2006-08-10,8300
2006-08-11,8300
2006-08-14,8300
2006-08-16,8300
2006-08-17,9200
2006-08-18,10000
2006-08-21,13000
2006-08-22,13000
2006-08-23,11000
2006-08-24,11000
2006-08-25,12500
2006-08-28,13300
2006-08-29,11600
2006-08-30,11600
2006-08-31,11600
2006-09-01,12500
2006-09-04,12500
2006-09-05,11000
2006-09-06,12000
2006-09-07,11000
2006-09-08,11000
2006-09-11,12500
2006-09-12,12500
2006-09-13,12000
2006-09-14,12000
2006-09-15,12500
2006-09-18,11000
2006-09-19,12000
2006-09-20,12000
2006-09-21,12000
2006-09-22,11000
2006-09-25,11000
2006-09-26,10000
2006-09-27,10000
2006-09-28,8300
2006-09-29,8300
2006-09-30,8300
2006-10-02,8300
2006-10-04,8300
2006-10-09,6700
2006-10-10,5800
2006-10-11,4200
2006-10-12,4200
2006-10-13,4200
2006-10-16,4200
2006-10-17,3300
2006-10-18,3300
2006-10-19,3300
2006-11-08,2500
2006-11-09,2500
2006-11-10,2500
2006-11-13,2500
2006-11-14,2500
2006-11-15,2500
2006-11-16,2500
2006-11-20,2500
2006-11-21,2500
2006-11-22,2500
2006-11-23,3100
2006-11-24,3100
2006-11-27,3100
2006-11-28,3100
2006-11-29,3100
2006-11-30,3800
2006-12-04,3100
2006-12-05,3100
2006-12-06,3100
2006-12-07,3100
2006-12-08,3800
2006-12-11,3100
2006-12-12,3100
2006-12-13,3100
2006-12-14,3100
2006-12-15,3100
2006-12-18,2500
2006-12-19,2500
2006-12-20,2500
2006-12-21,2500
2006-12-22,3100
2006-12-25,3100
2006-12-26,2900
2006-12-27,2900
2006-12-28,2900
2006-12-29,2900
2007-01-02,2900
2007-01-03,2900
2007-01-04,2900
2007-01-05,2900
2007-01-08,2900
2007-01-09,2900
2007-01-10,2900
2007-01-11,2900
2007-01-12,2500
2007-01-22,2500
2007-01-23,2500
2007-01-24,2100
2007-01-25,2100
2007-01-26,2100
2007-01-29,2100
2007-01-30,2100
2007-01-31,2100
2007-02-01,2100
2007-02-02,2100
2007-02-05,2100
2007-02-06,2100
2007-02-07,2100
2007-02-08,2100
2007-02-09,2100
2007-02-12,1700
2007-02-13,1700
2007-02-14,1700
2007-02-15,1700
2007-02-16,1700
2007-02-20,1700
2007-02-21,1700
2007-02-22,2100
2007-02-23,2100
2007-02-26,2100
2007-02-27,2100
2007-02-28,2100
2007-03-02,2100
2007-03-05,2100
2007-03-06,2100
2007-03-07,2100
2007-03-08,2500
2007-03-09,2500
2007-03-12,2100
2007-03-13,2100
2007-03-14,2100
2007-03-15,2100
2007-03-16,2100
2007-03-19,2500
2007-03-20,2500
2007-03-21,2500
2007-03-22,2900
2007-03-23,2900
2007-03-26,2900
2007-03-27,2900
2007-03-28,2900
2007-03-29,2900
2007-03-30,3300
2007-04-02,2900
2007-04-03,2900
2007-04-04,2900
2007-04-05,2900
2007-04-06,2900
2007-04-09,2500
2007-04-10,2500
2007-04-11,2500
2007-04-12,2500
2007-04-13,2500
2007-04-16,2900
2007-04-17,2900
2007-04-18,2900
2007-04-19,2900
2007-06-04,2500
2007-06-05,2500
2007-06-07,3000
2007-06-08,3000
2007-06-11,3000
2007-06-12,3000
2007-06-13,3000
2007-06-14,3000
2007-06-15,3000
2007-06-18,3300
2007-06-19,3500
2007-06-20,3500
2007-06-21,5000
2007-06-22,8000
2007-06-25,8000
2007-06-26,6000
2007-06-27,6000
2007-06-28,5500
2007-06-29,5000
2007-07-02,7000
2007-07-03,6000
2007-07-04,6000
2007-07-05,5000
2007-07-06,5000
2007-07-09,6000
2007-07-10,5000
2007-07-11,4000
2007-07-12,5000
2007-07-13,6000
2007-08-01,5500
2007-08-02,5500
2007-08-03,6000
2007-08-06,4000
2007-08-07,4000
2007-08-08,5000
2007-08-09,4000
2007-08-10,3500
2007-08-13,5000
